RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
1 2 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 4 2 1 1 2
1 3 1 1 1 2
1 3 1 1 1 2
1 4 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 4 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 4 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 4 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 4 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 2 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 2 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 2 2 1 1 2
1 3 1 1 1 2
1 2 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 2 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 4 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 2 2 1 1 2
1 4 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 2 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 4 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 3 2 1 1 2
1 4 2 1 1 2
1 3 2 1 1 2
1 3 1 1 1 2
1 3 1 1 1 1
1 4 2 1 1 1
1 4 2 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 1 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 4 2 1 1 1
1 4 1 1 1 1
1 3 2 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 1 1 1 1
1 4 2 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 3 1 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 2 1 1 1
1 3 1 1 1 1
1 4 1 1 1 1
1 3 2 1 1 1
1 4 2 1 1 1
1 3 2 1 1 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 3 1 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 3 1 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 3 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 3 2 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 3 1 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 5 1 1 2 1
1 4 1 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 4 1 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 5 1 1 2 1
1 4 2 1 2 1
1 5 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 5 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 4 1 1 2 1
1 4 1 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 4 1 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 4 1 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 4 1 1 2 1
1 5 1 1 2 1
1 4 1 1 2 1
1 3 2 1 2 1
1 5 1 1 2 1
1 4 2 1 2 1
1 3 2 1 2 1
1 4 2 1 2 1
1 5 1 1 2 1
1 4 2 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 1 1 2 1
1 4 1 1 2 1
1 4 1 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 3 2 1 2 1
1 4 1 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 2 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 6 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 6 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 3 2 1 2 1
1 6 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 6 2 1 2 1
1 6 2 1 2 1
1 3 1 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 4 2 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 5 1 1 2 1
1 6 2 1 2 1
1 6 2 1 2 1
1 5 1 1 2 1
1 5 2 1 2 1
1 3 2 1 2 1
1 5 1 1 2 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 1 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 3 1 1 3 1
1 3 1 1 3 1
1 5 1 1 3 1
1 3 2 1 3 1
1 3 2 1 3 1
1 4 2 1 3 1
1 5 1 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 5 1 1 3 1
1 5 2 1 3 1
1 5 1 1 3 1
1 4 2 1 3 1
1 5 1 1 3 1
1 2 2 1 3 1
1 5 1 1 3 1
1 4 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 1 1 3 1
1 6 2 1 3 1
1 3 1 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 1 1 3 1
1 5 2 1 3 1
1 3 1 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 4 2 1 3 1
1 3 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 3 1 1 3 1
1 2 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 1 1 3 1
1 6 1 1 3 1
1 6 1 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 1 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 1 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 4 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 3 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 1 1 3 1
1 3 2 1 3 1
1 5 1 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 1 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 1 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 5 1 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 3 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 5 1 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 3 2 1 3 1
1 6 1 1 3 1
1 4 2 1 3 1
1 6 2 1 3 1
1 5 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 2 1 3 1
1 6 1 1 3 1
1 6 2 1 3 1
1 2 2 1 3 1
1 6 2 1 3 1
